Location Type,Descriptor,Complaint Type
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street/Sidewalk,No Access,Blocked Driveway
,Overcharge,Consumer Complaint
,Taste/Odor, Bitter/Metallic (QA3),Water Quality
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Sidewalk,E12 Illegal Dumping Surveillance,Dirty Conditions
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Pothole,Street Condition
,Noise: Construction Before/After Hours (NM1),Noise
,Site Conditions Endangering Workers,General Construction/Plumbing
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Street,Entire Tree Has Fallen Down,Damaged Tree
,Hydrant Leaking (WC1),Water System
,Pothole,Street Condition
Street,St Name - Attached to Pole,Street Sign - Dangling
,Egress - Doors Locked/Blocked/Improper/No Secondary Means,General Construction/Plumbing
,Pothole,Street Condition
,Pothole,Street Condition
Store/Commercial,Loud Music/Party,Noise - Commercial
,Controller,Traffic Signal Condition
Street,14 Derelict Vehicles,Derelict Vehicles
Residential Building/House,Playing in Unsuitable Place,Disorderly Youth
,Hydrant Leaking (WC1),Water System
,Air: Dust, Construction/Demolition (AE4),Air Quality
Street/Sidewalk,Blocked Hydrant,Illegal Parking
,Manhole Cover Missing (Emergency) (SA3),Sewer
Street,Line/Marking - Faded,Street Condition
,No Water/Low Pressure (WA5),Water System
Street,14 Derelict Vehicles,Derelict Vehicles
,Pothole,Street Condition
Street/Sidewalk,Blocked Hydrant,Illegal Parking
,Pothole,Street Condition
Club/Bar/Restaurant,Loud Music/Party,Noise - Commercial
Street,Cave-in,Street Condition
,No Water/Low Pressure (WA5),Water System
Restaurant/Bar/Deli/Bakery,Kitchen/Food Prep Area,Food Establishment
,Dirty Water (WE),Water System
Restaurant/Bar/Deli/Bakery,Kitchen/Food Prep Area,Food Establishment
Street/Sidewalk,Partial Access,Blocked Driveway
Restaurant/Bar/Deli/Bakery,Food Worker Hygiene,Food Establishment
Street/Sidewalk,Playing in Unsuitable Place,Disorderly Youth
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
,Noise, Barking Dog (NR5),Noise
,Pothole,Street Condition
,Hydrant Running (WC3),Water System
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Partial Access,Blocked Driveway
Restaurant/Bar/Deli/Bakery,Odor,Food Establishment
,Controller,Traffic Signal Condition
,Noise, Barking Dog (NR5),Noise
,Ped Multiple Lamps,Traffic Signal Condition
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
Street/Sidewalk,No Access,Blocked Driveway
Street,14 Derelict Vehicles,Derelict Vehicles
,Pothole,Street Condition
,Non-Delivery Goods/Services,Consumer Complaint
,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Scaffold Safety
,Pothole,Street Condition
,Noise: Construction Before/After Hours (NM1),Noise
Residential Building/House,Other (complaint details),Animal Abuse
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
,Lead Kit Request (Residential) (L10),Lead
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
,Controller,Traffic Signal Condition
Residential Building/House,Tortured,Animal Abuse
,Contrary To LL 58/87(Handicapped Access),Special Projects Inspection Team (SPIT)
,Vent/Exhaust - Illegal/Improper,General Construction/Plumbing
,Pothole,Street Condition
,Damaged Vehicle,Consumer Complaint
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Manhole Cover Missing (Emergency) (SA3),Sewer
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
,Site Conditions Endangering Workers,General Construction/Plumbing
,Noise, Ice Cream Truck (NR4),Noise
,Pothole,Street Condition
Park,Graffiti or Vandalism,Maintenance or Facility
Street,Vehicle Complaint,Taxi Complaint
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
,Sewer Backup (Use Comments) (SA),Sewer
Street,No Receipt,Broken Muni Meter
,Noise: Construction Before/After Hours (NM1),Noise
Street,Failed Street Repair,Street Condition
,Pothole,Street Condition
Restaurant/Bar/Deli/Bakery,1 or 2,Food Poisoning
Street/Sidewalk,Double Parked Blocking Vehicle,Illegal Parking
Street/Sidewalk,With License Plate,Derelict Vehicle
Restaurant/Bar/Deli/Bakery,Letter Grading,Food Establishment
,Noise, Barking Dog (NR5),Noise
,Pothole,Street Condition
Street,Dead Branches in Tree,Overgrown Tree/Branches
Lot,8 Request to Clean Vacant Lot,Vacant Lot
Sidewalk,E1 Improper Disposal,Dirty Conditions
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
,Non-Delivery Goods/Services,Consumer Complaint
Street/Sidewalk,With License Plate,Derelict Vehicle
,Air: Smoke, Chimney or vent (AS1),Air Quality
,Pothole,Street Condition
Street/Sidewalk,Double Parked Blocking Traffic,Illegal Parking
Street Vendor,Other,Illegal Animal Sold
,Noise: Construction Before/After Hours (NM1),Noise
,Noise: Construction Before/After Hours (NM1),Noise
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,No Access,Blocked Driveway
,Street Light Out,Street Light Condition
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street/Sidewalk,Overnight Commercial Storage,Illegal Parking
Street/Sidewalk,No Access,Blocked Driveway
,Water Meter Broken/Leaking - Private Residence (CMR),Water Conservation
,NOISE: AIR CONDITION/VENTILATION EQUIPMENT - FOR DEP INTERNAL USE ONLY (YNV1),Internal Code
,Controller,Traffic Signal Condition
,Pothole,Street Condition
Sidewalk,E5 Loose Rubbish,Dirty Conditions
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
Sidewalk,E2A Storage Of Receptacles,Other Enforcement
Street,Unauthorized Tree Removal,Illegal Tree Damage
,Pothole,Street Condition
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Concrete In Catch Basin (IEA),Industrial Waste
,Noise, Ice Cream Truck (NR4),Noise
,Catch Basin Grating Missing (SA4),Sewer
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Noise: Construction Before/After Hours (NM1),Noise
Sidewalk,Blocked - Construction,Sidewalk Condition
,Noise, Ice Cream Truck (NR4),Noise
,Pothole,Street Condition
Street/Sidewalk,No Access,Blocked Driveway
Street,St Name - Attached to Pole,Street Sign - Damaged
Street,No Receipt,Broken Muni Meter
,Pothole,Street Condition
,Noise, Ice Cream Truck (NR4),Noise
,Hydrant Defective (WC2),Water System
,Unlicensed,Consumer Complaint
Residential,Graffiti,Graffiti
Mixed Use,Graffiti,Graffiti
,Graffiti,Graffiti
Residential,Graffiti,Graffiti
Mixed Use,Graffiti,Graffiti
Comercial,Graffiti,Graffiti
Mixed Use,Graffiti,Graffiti
Residential Building/House,Tortured,Animal Abuse
Street/Sidewalk,With License Plate,Derelict Vehicle
Street/Sidewalk,No Access,Blocked Driveway
Street,Cave-in,Street Condition
Street,No Receipt,Broken Muni Meter
Street/Sidewalk,Blocked Hydrant,Illegal Parking
,Noise, Barking Dog (NR5),Noise
Street,Cave-in,Street Condition
,Illegal Conversion Of Residential Building/Space,Building/Use
,Hydrant Leaking (WC1),Water System
,Street Light Out,Street Light Condition
Sidewalk,1RB Missed Recycling - M/G/Pl,Missed Collection (All Materials)
,Illegal Conversion Of Residential Building/Space,Building/Use
,Dirty Water (WE),Water System
Street Address,Initial - Construction,Construction
Sidewalk,Blocked - Construction,Sidewalk Condition
,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,General Construction/Plumbing
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street,Tree Leaning/Uprooted,Damaged Tree
,Leak (Use Comments) (WA2),Water System
Street,14 Derelict Vehicles,Derelict Vehicles
Street,Dead/Dying Tree,Dead Tree
Street,Branch or Limb Has Fallen Down,Damaged Tree
,Chemical Odor (HD1),Hazardous Materials
,Illegal Conversion Of Residential Building/Space,Building/Use
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
,Pothole,Street Condition
,Pothole,Street Condition
,No Water/Low Pressure (WA5),Water System
Street,Coin or Card Did Not Register,Broken Muni Meter
,Pothole,Street Condition
3+ Family Apartment Building,Ventilation,Indoor Air Quality
Street,No Receipt,Broken Muni Meter
Street/Sidewalk,No Access,Blocked Driveway
Restaurant/Bar/Deli/Bakery,3 or More,Food Poisoning
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Public/Unfenced Area,Unleashed Dog in Public,Unleashed Dog
Park,Obstructing Public Use,Violation of Park Rules
,Dirty Water (WE),Water System
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street,Rough, Pitted or Cracked Roads,Street Condition
,Pothole,Street Condition
,Driver Complaint,Taxi Complaint
Residential,Graffiti,Graffiti
,Elevator - Defective/Not Working,Elevator
Street,Rough, Pitted or Cracked Roads,Street Condition
,Dirty Water (WE),Water System
,Leak (Use Comments) (WA2),Water System
3+ Family Apartment Building,Ventilation,Indoor Air Quality
,Non-Delivery Goods/Services,Consumer Complaint
Comercial,Graffiti,Graffiti
,Noise: air condition/ventilation equipment (NV1),Noise
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Noise: Construction Equipment (NC1),Noise
,Non-Delivery Goods/Services,Consumer Complaint
Street/Sidewalk,No Access,Blocked Driveway
,Pothole,Street Condition
,Sewer Backup (Use Comments) (SA),Sewer
,Damaged/Defective Goods,Consumer Complaint
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Sewer Backup (Use Comments) (SA),Sewer
,Noise: Construction Before/After Hours (NM1),Noise
,Illegal Conversion Of Residential Building/Space,Building/Use
Street,Defective Hardware,Street Condition
Street/Sidewalk,No Access,Blocked Driveway
,Noise: Construction Before/After Hours (NM1),Noise
,Pothole,Street Condition
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street,Rough, Pitted or Cracked Roads,Street Condition
,Leak (Use Comments) (WA2),Water System
Street/Sidewalk,Double Parked Blocking Traffic,Illegal Parking
Street,No Receipt,Broken Muni Meter
,Asbestos Complaint (B1),Asbestos
Street,Driver Complaint,Taxi Complaint
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
,Illegal Conversion Of Residential Building/Space,Building/Use
Street,Credit Card Stuck in Meter,Broken Muni Meter
Street/Sidewalk,Partial Access,Blocked Driveway
,Billing Dispute,Consumer Complaint
Street/Sidewalk,No Access,Blocked Driveway
Street,St Name - Attached to Pole,Street Sign - Missing
,Lead Kit Request (Residential) (L10),Lead
Lot,E3A Dirty Area/Alleyway,Dirty Conditions
,Noise: Construction Before/After Hours (NM1),Noise
Street,Cave-in,Street Condition
Street,Out of Order,Broken Muni Meter
Street,Timer Defect - Fast/Fail,Broken Muni Meter
Sidewalk,E12 Illegal Dumping Surveillance,Dirty Conditions
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Street/Sidewalk,With License Plate,Derelict Vehicle
Street,St Name - Attached to Pole,Street Sign - Dangling
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
Street,Dead/Dying Tree,Dead Tree
,Leak (Use Comments) (WA2),Water System
Street,Dead/Dying Tree,Dead Tree
Street,Dead/Dying Tree,Dead Tree
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,False Advertising,Consumer Complaint
,Pothole,Street Condition
Street,Dead/Dying Tree,Dead Tree
Street,14 Derelict Vehicles,Derelict Vehicles
,Pothole,Street Condition
Street,Failed Street Repair,Street Condition
Street,Dead/Dying Tree,Dead Tree
,Curb Cut/Driveway/Carport - Illegal,General Construction/Plumbing
,Pothole,Street Condition
Street,Dead/Dying Tree,Dead Tree
,Pothole,Street Condition
Street/Sidewalk,Car/Truck Horn,Noise - Vehicle
Street,Dead/Dying Tree,Dead Tree
,No Status Call,Homeless Person Assistance
Sidewalk,Pedestrian Ramp Defective,Sidewalk Condition
Street,Failed Street Repair,Street Condition
,Pothole,Street Condition
,Pothole,Street Condition
Street/Sidewalk,With License Plate,Derelict Vehicle
Street,14 Derelict Vehicles,Derelict Vehicles
Residential Building/House,Playing in Unsuitable Place,Disorderly Youth
,Pothole,Street Condition
,Leak (Use Comments) (WA2),Water System
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,Driver Complaint,Taxi Complaint
Sidewalk,Blocked - Construction,Sidewalk Condition
,Street Light Out,Street Light Condition
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
Street,Plate Condition - Shifted,Street Condition
Street,Driver Complaint,Taxi Complaint
,No Status Call,Homeless Person Assistance
Street,No Receipt,Broken Muni Meter
Senior Address,Miscellaneous,SCRIE
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,Hydrant Leaking (WC1),Water System
,Pothole,Street Condition
,Noise: air condition/ventilation equipment (NV1),Noise
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Street,Dead/Dying Tree,Dead Tree
Street/Sidewalk,No Access,Blocked Driveway
,Pothole,Street Condition
,Pothole,Street Condition
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
,Pothole,Street Condition
Street,Coin or Card Did Not Register,Broken Muni Meter
Street,Dead/Dying Tree,Dead Tree
,Pothole,Street Condition
,Elevator - Defective/Not Working,Elevator
,Pothole,Street Condition
,Pothole,Street Condition
Street Address,On Site Test,Fire Safety Director - F58
Street/Sidewalk,Blocked Hydrant,Illegal Parking
Street,14 Derelict Vehicles,Derelict Vehicles
Restaurant/Bar/Deli/Bakery,Bare Hands in Contact w/ Food,Food Establishment
,Pothole,Street Condition
Street,No Receipt,Broken Muni Meter
Street,Blocked - Construction,Street Condition
Street/Sidewalk,No Access,Blocked Driveway
Street,No Receipt,Broken Muni Meter
Restaurant/Bar/Deli/Bakery,Food Temperature,Food Establishment
Street Address,On Site Test,Fire Safety Director - F58
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,Dirty Water (WE),Water System
,Pothole,Street Condition
,Illegal Conversion Of Residential Building/Space,Building/Use
Public/Unfenced Area,Unleashed Dog in Public,Unleashed Dog
,Pothole,Street Condition
,Noise, Barking Dog (NR5),Noise
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
,Working Contrary To Stop Work Order,General Construction/Plumbing
,Driver Complaint,Taxi Complaint
Sidewalk,E10 Obstruction (Street/Sidewalk),Other Enforcement
Sidewalk,12 Dead Animals,Sanitation Condition
,Pothole,Street Condition
,Pothole,Street Condition
Street,Driver Complaint,Taxi Complaint
,Hydrant Running Full (WA4),Water System
,Pothole,Street Condition
Street,Branch Cracked and Will Fall,Damaged Tree
Street/Sidewalk,Partial Access,Blocked Driveway
Street/Sidewalk,Loud Talking,Noise - Street/Sidewalk
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
Street,14 Derelict Vehicles,Derelict Vehicles
Restaurant/Bar/Deli/Bakery,Kitchen/Food Prep Area,Food Establishment
,Illegal Conversion Of Residential Building/Space,Building/Use
,Pothole,Street Condition
Public/Unfenced Area,Unleashed Dog in Public,Unleashed Dog
Restaurant/Bar/Deli/Bakery,Food Worker Hygiene,Food Establishment
,Pothole,Street Condition
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Noise, Barking Dog (NR5),Noise
Restaurant/Bar/Deli/Bakery,Food Worker Hygiene,Food Establishment
Restaurant/Bar/Deli/Bakery,Kitchen/Food Prep Area,Food Establishment
Lot,E3A Dirty Area/Alleyway,Dirty Conditions
,Leak (Use Comments) (WA2),Water System
Lot,E3A Dirty Area/Alleyway,Dirty Conditions
Street,Cave-in,Street Condition
,Driver Complaint,Taxi Complaint
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
Street,Failed Street Repair,Street Condition
,Pothole,Street Condition
Street,14 Derelict Vehicles,Derelict Vehicles
,Taste/Odor, Musty/Stale (QA4),Water Quality
Restaurant/Bar/Deli/Bakery,Dishwashing/Utensils,Food Establishment
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
,Illegal Conversion Of Residential Building/Space,Building/Use
Street,Coin or Card Did Not Register,Broken Muni Meter
,Unlicensed,Consumer Complaint
Street,Dead Branches in Tree,Overgrown Tree/Branches
,Leak (Use Comments) (WA2),Water System
Street,Blocked - Construction,Street Condition
,Pothole,Street Condition
Street,Plate Condition - Shifted,Street Condition
Street,Coin or Card Did Not Register,Broken Muni Meter
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
Street/Sidewalk,No Access,Blocked Driveway
,Pothole,Street Condition
Street,14 Derelict Vehicles,Derelict Vehicles
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Sidewalk,E15 Illegal Postering,Dirty Conditions
,Pothole,Street Condition
,Pothole,Street Condition
Restaurant/Bar/Deli/Bakery,Rodents/Insects/Garbage,Food Establishment
,Controller,Traffic Signal Condition
,Manhole Cover Missing (Emergency) (SA3),Sewer
,Pothole,Street Condition
,Cars Parked on Sidewalk/Street,Consumer Complaint
Street,Defective Hardware,Street Condition
,Driver Complaint,Taxi Complaint
,Dirty Water (WE),Water System
Street,14 Derelict Vehicles,Derelict Vehicles
,Working Contrary To Stop Work Order,General Construction/Plumbing
Street,Line/Marking - Faded,Street Condition
,Noise: Alarms (NR3),Noise
,Hydrant Running (WC3),Water System
,Leak (Use Comments) (WA2),Water System
Street,Branch or Limb Has Fallen Down,Damaged Tree
,Controller,Traffic Signal Condition
,Elevator - Defective/Not Working,Elevator
,Non-Delivery Goods/Services,Consumer Complaint
,Pothole,Street Condition
,Street Light Out,Street Light Condition
,Leak (Use Comments) (WA2),Water System
Street,Cave-in,Street Condition
Street,14 Derelict Vehicles,Derelict Vehicles
,Pothole,Street Condition
,Egress - Doors Locked/Blocked/Improper/No Secondary Means,General Construction/Plumbing
,Controller,Traffic Signal Condition
,Dirty Water (WE),Water System
,Pothole,Street Condition
Street,Hitting Power/Phone Lines,Overgrown Tree/Branches
,Controller,Traffic Signal Condition
Park,Structure - Outdoors,Maintenance or Facility
Street Address,Initial - Construction,Construction
Sidewalk,1RB Missed Recycling - M/G/Pl,Missed Collection (All Materials)
Street/Sidewalk,Double Parked Blocking Vehicle,Illegal Parking
,Landmark Bldg - Illegal Work,General Construction/Plumbing
Street/Sidewalk,Blocked Sidewalk,Illegal Parking
Sidewalk,E5 Loose Rubbish,Dirty Conditions
,Asbestos Complaint (B1),Asbestos
Street/Sidewalk,No Access,Blocked Driveway
,Pothole,Street Condition
Street,Dead/Dying Tree,Dead Tree
Street/Sidewalk,No Access,Blocked Driveway
Street,Failed Street Repair,Street Condition
Street,14 Derelict Vehicles,Derelict Vehicles
,Leak (Use Comments) (WA2),Water System
,Dirty Water (WE),Water System
Vehicle Lane,Line/Marking - Faded,Street Condition
Street,Dead/Dying Tree,Dead Tree
Store/Commercial,Banging/Pounding,Noise - Commercial
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
,Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,Investigations and Discipline (IAD)
Street,No Receipt,Broken Muni Meter
Street,Street Cleaning - ASP,Street Sign - Dangling
Lot,E3A Dirty Area/Alleyway,Dirty Conditions
Street,14 Derelict Vehicles,Derelict Vehicles
Crosswalk,Line/Marking - Faded,Street Condition
Street Address,Re-Inspect - No Show,Construction
,Leak (Use Comments) (WA2),Water System
,Pothole,Street Condition
Street/Sidewalk,No Access,Blocked Driveway
,Exchange/Refund/Return,Consumer Complaint
,Sewer Backup (Use Comments) (SA),Sewer
Crosswalk,Line/Marking - Faded,Street Condition
,Illegal Tow,Consumer Complaint
Sidewalk,E8 Canine Violation,Dirty Conditions
Crosswalk,Line/Marking - Faded,Street Condition
Street,No Receipt,Broken Muni Meter
Street/Sidewalk,No Access,Blocked Driveway
Park,Structure - Outdoors,Maintenance or Facility
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
Park,Garbage or Litter,Maintenance or Facility
Restaurant/Bar/Deli/Bakery,Toilet Facility,Food Establishment
Restaurant/Bar/Deli/Bakery,Toilet Facility,Food Establishment
Street/Sidewalk,With License Plate,Derelict Vehicle
Street,Coin or Card Did Not Register,Broken Muni Meter
Street,Street Cleaning - ASP,Street Sign - Missing
Sidewalk,Blocked - Construction,Sidewalk Condition
Comercial,Graffiti,Graffiti
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
,Noise, Ice Cream Truck (NR4),Noise
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
,Elevator - Defective/Not Working,Elevator
Street/Sidewalk,Engine Idling,Noise - Vehicle
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
,Pothole,Street Condition
Sidewalk,1R Missed Recycling-All Materials,Missed Collection (All Materials)
Sidewalk,E3 Dirty Sidewalk,Dirty Conditions
,Excavation Undermining Adjacent Building,General Construction/Plumbing
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
,Pothole,Street Condition
Sidewalk,E15 Illegal Postering,Dirty Conditions
Street,14 Derelict Vehicles,Derelict Vehicles
Sidewalk,E12 Illegal Dumping Surveillance,Dirty Conditions
Sidewalk,10 Litter Basket / Request,Litter Basket / Request
Street,Stop,Street Sign - Missing
,Wastewater Into Catch Basin (IEB),Industrial Waste
,Sewer Odor (SA2),Sewer
Street/Sidewalk,With License Plate,Derelict Vehicle
,Building Shaking/Vibrating/Structural Stability,General Construction/Plumbing
,Elevator - Defective/Not Working,Elevator
Sidewalk,E15 Illegal Postering,Dirty Conditions
Street,Speed Limit,Street Sign - Damaged
,Pothole,Street Condition
,Noise, Barking Dog (NR5),Noise
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
Other (Explain Below),Food Spoiled,Food Establishment
,Elevator - Defective/Not Working,Elevator
Sidewalk,E15 Illegal Postering,Dirty Conditions
,Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
Street,Rough, Pitted or Cracked Roads,Street Condition
,Chemical Odor (HD1),Hazardous Materials
Sidewalk,ER2 Resident Recyc. (Tenant),Recycling Enforcement
Street,Coin or Card Did Not Register,Broken Muni Meter
,Pothole,Street Condition
,Sprinkler System - Inadequate,Plumbing
,Pothole,Street Condition
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Street Address,Initial - PA,Construction
Park,Grass/Weeds,Maintenance or Facility
Sidewalk,E11 Litter Surveillance,Dirty Conditions
Residential,Graffiti,Graffiti
,Paid in Advance,Consumer Complaint
Highway,Cave-in,Highway Condition
Sidewalk,10 Litter Basket / Request,Litter Basket / Request
Street/Sidewalk,No Access,Blocked Driveway
Street,Credit Card Stuck in Meter,Broken Muni Meter
Street,15 Street Cond/Dump-Out/Drop-Off,Sanitation Condition
,Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
,Dirty Water (WE),Water System
Street,Sidewalk Consultation,Root/Sewer/Sidewalk Condition
,Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
,Leak (Use Comments) (WA2),Water System
Street/Sidewalk,No Access,Blocked Driveway
Street,No Parking, Standing, Stopping,Street Sign - Damaged
Street,Branch Cracked and Will Fall,Damaged Tree
,Egress - Doors Locked/Blocked/Improper/No Secondary Means,General Construction/Plumbing
,Wastewater Into Catch Basin (IEB),Industrial Waste
Sidewalk,1 Missed Collection,Missed Collection (All Materials)
,Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
,Cons - Contrary/Beyond Approved Plans/Permits,General Construction/Plumbing
Street,14 Derelict Vehicles,Derelict Vehicles
,Dirty Water (WE),Water System
,Building - Vacant, Open And Unguarded,General Construction/Plumbing
,Zoning - Non-Conforming/Illegal Vehicle Storage,Building/Use
Street/Sidewalk,With License Plate,Derelict Vehicle
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
,Controller,Traffic Signal Condition
Street,Failed Street Repair,Street Condition
Senior Address,Application Renewal,SCRIE
,Possible Water Main Break (Use Comments) (WA1),Water System
,Street Light Out,Street Light Condition
Street,Street Cleaning - ASP,Street Sign - Damaged
Street/Sidewalk,Loud Music/Party,Noise - Street/Sidewalk
,Pothole,Street Condition
Street/Sidewalk,In Prohibited Area,Vending
Street,Unauthorized Tree Removal,Illegal Tree Damage
Street,Guard Rail - Street,Street Condition
Street,Driver Complaint,For Hire Vehicle Complaint
Street Address,On Site Test,Fire Safety Director - F58
,Street Light Out,Street Light Condition
,Pothole,Street Condition
,Pothole,Street Condition
Street,Street Cleaning - ASP,Street Sign - Damaged
Club/Bar/Restaurant,N/A,Urinating in Public
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Sidewalk,12 Dead Animals,Sanitation Condition
Street/Sidewalk,Double Parked Blocking Vehicle,Illegal Parking
Street/Sidewalk,No Access,Blocked Driveway
,Pothole,Street Condition
,Noise: Construction Equipment (NC1),Noise
,Noise, Ice Cream Truck (NR4),Noise
Sidewalk,E1 Improper Disposal,Dirty Conditions
Street/Sidewalk,Car/Truck Music,Noise - Vehicle
Park,Structure - Outdoors,Maintenance or Facility
,Noise: Alarms (NR3),Noise
,Manhole Overflow (Use Comments) (SA1),Sewer
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
Street/Sidewalk,With License Plate,Derelict Vehicle
,Sewer Backup (Use Comments) (SA),Sewer
Street,14 Derelict Vehicles,Derelict Vehicles
,Pothole,Street Condition
,Possible Water Main Break (Use Comments) (WA1),Water System
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,No Access,Blocked Driveway
Street,Cave-in,Street Condition
Street/Sidewalk,No Access,Blocked Driveway
Senior Address,Rent Discrepancy,SCRIE
,Pothole,Street Condition
Senior Address,TAC Report,SCRIE
,Air: Odor/Fumes, Restaurant (AD2),Air Quality
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
Street Address,On Site Test,Fire Safety Director - F58
Street,Trees and Sidewalks Program,Root/Sewer/Sidewalk Condition
,Debris - Falling Or In Danger Of Falling,General Construction/Plumbing
Street/Sidewalk,No Access,Blocked Driveway
Street/Sidewalk,Posted Parking Sign Violation,Illegal Parking
Street Address,On Site Test,Fire Safety Director - F58
Sidewalk,E8 Canine Violation,Dirty Conditions
,Noise: Construction Before/After Hours (NM1),Noise
Street,No Parking, Standing, Stopping,Street Sign - Dangling
Street,Coin or Card Did Not Register,Broken Muni Meter
Street,Blocked - Construction,Street Condition
,Fence - None/Inadequate,General Construction/Plumbing
,Exchange/Refund/Return,Consumer Complaint
Street Address,Initial - Construction,Construction
,Hydrant Running Full (WA4),Water System
,Noise: Alarms (NR3),Noise
,Catch Basin Clogged/Flooding (Use Comments) (SC),Sewer
Street/Sidewalk,Commercial Overnight Parking,Illegal Parking
